case:concept:name,concept:name,tool,time:timestamp,org:resource,lifecycle:transition,artifact_type,agent_model,case:primary_intent,case:concern,case:session,case:worktree,case:week,case:corrects_agent,case:cross_cutting,case:rework,case:scope_change,case:user_incorrect
1,EXPLORE,Read,2026-07-17T20:27:06.425Z,agent,complete,,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
1,EXPLORE,Read,2026-07-17T20:27:06.937Z,agent,complete,,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
1,EXPLORE,Read,2026-07-17T20:27:07.252Z,agent,complete,doc,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
1,BROWSE,mcp__Claude_Browser__navigate,2026-07-17T20:27:16.230Z,agent,complete,,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
1,BROWSE,mcp__Claude_Browser__preview_start,2026-07-17T20:27:26.054Z,agent,complete,,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
1,BROWSE,mcp__Claude_Browser__get_page_text,2026-07-17T20:29:51.701Z,agent,complete,,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
1,BROWSE,mcp__Claude_Browser__read_page,2026-07-17T20:29:58.497Z,agent,complete,,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
1,BROWSE,mcp__Claude_Browser__computer,2026-07-17T20:30:07.486Z,agent,complete,,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
1,BROWSE,mcp__Claude_Browser__read_page,2026-07-17T20:30:10.075Z,agent,complete,,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
1,BROWSE,mcp__Claude_Browser__computer,2026-07-17T20:30:12.348Z,agent,complete,,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
1,BROWSE,mcp__Claude_Browser__find,2026-07-17T20:30:15.075Z,agent,complete,,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
1,BROWSE,mcp__Claude_Browser__read_page,2026-07-17T20:30:19.617Z,agent,complete,,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
1,BROWSE,mcp__Claude_Browser__computer,2026-07-17T20:30:23.555Z,agent,complete,,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
1,BROWSE,mcp__Claude_Browser__get_page_text,2026-07-17T20:30:30.170Z,agent,complete,,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
1,BROWSE,mcp__Claude_Browser__find,2026-07-17T20:30:36.109Z,agent,complete,,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
1,BROWSE,mcp__Claude_Browser__read_page,2026-07-17T20:30:49.599Z,agent,complete,,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
1,BROWSE,mcp__Claude_Browser__computer,2026-07-17T20:30:55.261Z,agent,complete,,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
1,BROWSE,mcp__Claude_Browser__computer,2026-07-17T20:30:58.135Z,agent,complete,,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
1,BROWSE,mcp__Claude_Browser__javascript_tool,2026-07-17T20:31:02.966Z,agent,complete,,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
1,BROWSE,mcp__Claude_Browser__javascript_tool,2026-07-17T20:31:15.923Z,agent,complete,,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
1,BROWSE,mcp__Claude_Browser__javascript_tool,2026-07-17T20:31:31.082Z,agent,complete,,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
1,BROWSE,mcp__Claude_Browser__javascript_tool,2026-07-17T20:31:48.457Z,agent,complete,,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
1,BROWSE,mcp__Claude_Browser__javascript_tool,2026-07-17T20:32:05.654Z,agent,complete,,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
1,BROWSE,mcp__Claude_Browser__javascript_tool,2026-07-17T20:32:22.060Z,agent,complete,,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
1,BROWSE,mcp__Claude_Browser__javascript_tool,2026-07-17T20:32:33.621Z,agent,complete,,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
1,BROWSE,mcp__Claude_Browser__javascript_tool,2026-07-17T20:32:56.176Z,agent,complete,,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
1,BROWSE,mcp__Claude_Browser__javascript_tool,2026-07-17T20:33:15.667Z,agent,complete,,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
1,BROWSE,mcp__Claude_Browser__resize_window,2026-07-17T20:33:35.694Z,agent,complete,,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
1,BROWSE,mcp__Claude_Browser__javascript_tool,2026-07-17T20:33:45.388Z,agent,complete,,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
1,BROWSE,mcp__Claude_Browser__javascript_tool,2026-07-17T20:34:10.544Z,agent,complete,,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
1,BROWSE,mcp__Claude_Browser__javascript_tool,2026-07-17T20:34:45.540Z,agent,complete,,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
1,VCS,Bash,2026-07-17T20:35:17.579Z,agent,complete,,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
1,VCS,Bash,2026-07-17T20:35:29.107Z,agent,complete,,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
1,VCS,Bash,2026-07-17T20:35:37.709Z,agent,complete,,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
1,SHELL,Bash,2026-07-17T20:35:51.025Z,agent,complete,,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
1,VCS,PowerShell,2026-07-17T20:36:01.516Z,agent,complete,,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
1,VCS,PowerShell,2026-07-17T20:36:09.565Z,agent,complete,,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
1,ASK,AskUserQuestion,2026-07-17T20:36:42.627Z,agent,complete,,opus-4-8,meta_process,dashboards,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
3,SHELL,Bash,2026-07-17T20:41:55.662Z,agent,complete,,opus-4-8,fix,visualization & layout,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
3,EXPLORE,Glob,2026-07-17T20:42:06.644Z,agent,complete,web,opus-4-8,fix,visualization & layout,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
3,EXPLORE,Glob,2026-07-17T20:42:11.695Z,agent,complete,,opus-4-8,fix,visualization & layout,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
3,EXPLORE,Grep,2026-07-17T20:42:22.125Z,agent,complete,,opus-4-8,fix,visualization & layout,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
3,EXPLORE,Grep,2026-07-17T20:42:28.613Z,agent,complete,web,opus-4-8,fix,visualization & layout,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
3,EXPLORE,Read,2026-07-17T20:42:34.753Z,agent,complete,,opus-4-8,fix,visualization & layout,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
3,EXPLORE,Grep,2026-07-17T20:42:46.286Z,agent,complete,web,opus-4-8,fix,visualization & layout,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
3,EXPLORE,Read,2026-07-17T20:42:54.152Z,agent,complete,,opus-4-8,fix,visualization & layout,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
3,EXPLORE,Grep,2026-07-17T20:43:06.903Z,agent,complete,web,opus-4-8,fix,visualization & layout,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
3,EXPLORE,Grep,2026-07-17T20:43:18.324Z,agent,complete,,opus-4-8,fix,visualization & layout,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
3,EXPLORE,Read,2026-07-17T20:43:24.771Z,agent,complete,,opus-4-8,fix,visualization & layout,20092371,wt:quizzical-jennings-e73613,2026-W29,0,0,0,0,0
